WTeamID,WScore,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF
1421,92,11,29,17,26,14,30,17,12,5,3,22
1112,80,7,23,11,14,11,36,22,16,10,7,8
1113,84,6,14,16,22,10,27,18,9,7,4,19
1141,79,3,7,18,25,11,20,15,18,13,1,19
1143,76,7,20,15,23,18,20,17,13,8,2,14
1163,58,4,14,20,27,12,29,8,14,3,8,16
1181,67,4,13,25,31,13,27,4,16,10,8,23
1211,74,6,14,28,37,8,28,12,12,2,2,15
1228,65,5,14,12,14,15,23,15,14,11,4,14
1242,64,2,6,6,11,7,20,13,11,8,4,17
1266,72,9,16,19,23,11,20,14,10,4,3,23
1281,72,5,13,11,18,9,32,7,23,4,6,19
1323,70,3,13,21,25,11,33,7,20,6,6,19
1328,71,10,18,13,24,11,24,16,14,8,3,12
1390,77,8,24,11,15,12,29,16,14,4,8,24
1409,84,8,12,10,13,8,26,18,12,6,1,11
1458,81,6,16,13,22,10,24,16,9,7,2,16
1120,65,7,18,8,13,14,24,11,15,4,5,16
1139,47,5,18,6,8,7,19,5,8,3,0,15
1196,85,13,28,8,14,9,31,24,10,6,3,15
1231,67,7,18,22,26,13,22,15,8,1,2,17
1246,95,10,20,5,11,10,25,22,13,7,4,17
1257,86,8,24,8,13,15,29,18,12,12,4,22
1268,75,10,19,11,15,8,27,17,13,3,3,20
1277,79,7,13,20,25,10,28,16,11,5,1,18
1329,77,7,20,16,28,10,15,15,11,12,0,17
1338,87,9,16,12,21,10,23,22,9,14,6,19
1345,80,9,16,17,19,8,25,7,19,9,1,18
1393,76,4,11,12,15,11,28,16,18,5,9,17
1400,82,6,16,14,20,19,28,15,14,6,2,16
1428,60,9,23,15,18,13,23,8,15,7,4,22
1448,76,6,23,12,20,19,29,13,19,8,9,19
1462,71,6,20,13,18,17,30,19,10,5,4,11
1112,96,7,24,21,29,18,29,18,9,7,4,20
1163,85,6,10,17,21,17,26,12,9,4,1,13
1181,86,10,15,12,16,4,23,14,11,15,9,18
1242,108,5,9,23,34,12,28,21,13,6,6,20
1266,101,12,18,19,20,8,25,18,12,6,0,20
1323,68,13,24,5,5,5,32,12,11,5,4,13
1328,74,7,13,15,24,13,23,16,12,2,2,15
1458,61,6,22,11,17,10,22,12,5,5,3,11
1120,68,4,19,16,20,12,21,11,14,9,6,18
1139,79,14,22,11,19,10,18,21,12,6,2,11
